English	Santhali_Roman	Santhali_OlChiki
speech	boli	ᱵᱳᱞᱤ
language	bhasha	ᱵᱷᱟᱧᱟ
sound	aawaaz	ᱟᱣᱟᱡ
voice	gom	ᱜᱳᱢ
word	shabd	ᱥᱷᱟᱵᱫ
sentence	bakhaan	ᱵᱟᱠᱷᱟᱱ
meaning	matlab	ᱢᱟᱛᱞᱟᱵ
understand	bujhaon	ᱵᱩᱡᱷᱟᱣᱱ
learn	sikhao	ᱥᱤᱠᱷᱟᱣ
teach	sikhabon	ᱥᱤᱠᱷᱟᱵᱳᱱ
listen	suno	ᱥᱩᱱᱳ
speak	bolao	ᱵᱳᱞᱟᱣ
model	namuuna	ᱱᱟᱢᱩᱱᱟ
training	sikhlai	ᱥᱤᱠᱷᱞᱟᱤ
data	jaankari	ᱡᱟᱱᱠᱟᱨᱤ
computer	ganak yantr	ᱜᱟᱱᱟᱠ ᱡᱟᱱᱛᱨ
network	jaal	ᱡᱟᱞ
input	pravesh	ᱯᱨᱟᱵᱮᱥ
output	nirgam	ᱱᱤᱨᱜᱟᱢ
frequency	aavriti	ᱟᱣᱨᱤᱛᱤ
signal	sanket	ᱥᱟᱱᱠᱮᱛ
noise	shor	ᱥᱳᱨ
pattern	naman	ᱱᱟᱢᱱ
feature	visheshta	ᱵᱤᱥᱮᱥᱛᱟ
recognition	pehchaan	ᱯᱮᱦᱪᱟᱱ
classification	vibhajan	ᱵᱤᱵᱷᱟᱡᱟᱱ
prediction	anuman	ᱟᱱᱩᱢᱟᱱ
accuracy	shuddha	ᱥᱩᱫᱷᱟ
error	ghalti	ᱜᱷᱟᱞᱛᱤ
phoneme	dhwani	ᱫᱷᱣᱟᱱᱤ
pitch	sur	ᱥᱩᱨ
rhythm	lay	ᱞᱟᱭ
tone	swar	ᱥᱣᱟᱨ
syllable	akshar	ᱟᱠᱥᱷᱟᱨ
vowel	swarit	ᱥᱣᱟᱨᱤᱛ
consonant	vyanjan	ᱵᱭᱟᱱᱡᱟᱱ
transcription	likhit boli	ᱞᱤᱠᱷᱤᱛ ᱵᱳᱞᱤ
translation	anuvad	ᱟᱱᱩᱵᱟᱫ
synthesis	nirman	ᱱᱤᱨᱢᱟᱱ
wave	leher	ᱞᱮᱦᱮᱨ
spectrum	varnpat	ᱵᱟᱨᱱᱯᱟᱛ
energy	urja	ᱩᱨᱡᱟ
time	samay	ᱥᱟᱢᱟᱭ
class	kaksha	ᱠᱟᱠᱥᱷᱟ
lecture	paath	ᱯᱟᱛᱷ
student	chaatra	ᱪᱷᱟᱛᱨᱟ
professor	adhyapak	ᱟᱫᱷᱭᱟᱯᱟᱠ
question	prashn	ᱯᱨᱟᱥᱷᱱ
answer	uttar	ᱩᱛᱛᱟᱨ
number	ank	ᱟᱱᱠ
algorithm	vidhi	ᱵᱤᱫᱷᱤ
system	pranali	ᱯᱨᱟᱱᱟᱞᱤ
process	prakriya	ᱯᱨᱟᱠᱨᱤᱭᱟ
result	parinam	ᱯᱟᱨᱤᱱᱟᱢ
experiment	prayog	ᱯᱨᱟᱭᱳᱜ
research	anusandhan	ᱟᱱᱩᱥᱟᱱᱫᱷᱟᱱ
method	tarika	ᱛᱟᱨᱤᱠᱟ
step	kadam	ᱠᱟᱫᱟᱢ
important	jaruri	ᱡᱟᱨᱩᱨᱤ
example	udaharan	ᱩᱫᱟᱦᱟᱨᱟᱱ
basically	mulyan	ᱢᱩᱞᱭᱟᱱ
and	ar	ᱟᱨ
or	baa	ᱵᱟ
not	baa	ᱵᱟ
is	kan	ᱠᱟᱱ
are	kanko	ᱠᱟᱱᱠᱳ
the	do	ᱫᱳ
a	mit	ᱢᱤᱛ
of	ren	ᱨᱮᱱ
in	re	ᱨᱮ
for	bage	ᱵᱟᱜᱮ
with	saange	ᱥᱟᱱᱜᱮ
from	te	ᱛᱮ
to	eta	ᱮᱛᱟ
we	abo	ᱟᱵᱳ
you	am	ᱟᱢ
it	uni	ᱩᱱᱤ
how	kemon	ᱠᱮᱢᱳᱱ
what	ona	ᱳᱱᱟ
when	abege	ᱟᱵᱮᱜᱮ
where	okoe	ᱳᱠᱳᱮ
who	okoe	ᱳᱠᱳᱮ
why	onkado	ᱳᱱᱠᱟᱫᱳ
